method,method_label,family,n,nonalternating_n,abs_gap_positive_prop,mean_abs_gap,abs_gap_ge_4_prop,kh_diagonal_mean,kh_diagonal_ge_3_prop,kh_support_mean,crossing_15_prop,alternating_prop
raw_sse,Raw SSE,All 5 >=3/5,263,102,0.696078431372549,1.5098039215686274,0.058823529411764705,2.349809885931559,0.3193916349809886,29.988593155893536,0.9429657794676806,0.6121673003802282
raw_sse,Raw SSE,No Khovanov >=3/4,220,69,0.7391304347826086,1.6231884057971016,0.07246376811594203,2.290909090909091,0.2590909090909091,30.154545454545456,0.9363636363636364,0.6863636363636364
raw_sse,Raw SSE,Original raw strict 5/5,39,16,1.0,2.25,0.125,2.4615384615384617,0.41025641025641024,30.692307692307693,1.0,0.5897435897435898
relative_nre,Relative error,All 5 >=3/5,18,18,0.3333333333333333,0.8888888888888888,0.1111111111111111,3.388888888888889,0.9444444444444444,29.77777777777778,0.4444444444444444,0.0
relative_nre,Relative error,No Khovanov >=3/4,5,5,0.6,1.6,0.2,3.6,1.0,31.4,0.6,0.0
residual_mahalanobis,Residual Mahalanobis,All 5 >=3/5,317,125,0.616,1.328,0.048,2.321766561514196,0.29337539432176657,29.77917981072555,0.9652996845425867,0.6056782334384858
residual_mahalanobis,Residual Mahalanobis,No Khovanov >=3/4,269,96,0.59375,1.2916666666666667,0.052083333333333336,2.275092936802974,0.24907063197026022,29.66171003717472,0.966542750929368,0.6431226765799256
residual_isolation_forest,Residual Isolation Forest,All 5 >=3/5,211,79,0.8354430379746836,1.8227848101265822,0.0759493670886076,2.3981042654028437,0.36018957345971564,30.587677725118482,0.9715639810426541,0.6255924170616114
residual_isolation_forest,Residual Isolation Forest,No Khovanov >=3/4,129,36,0.9722222222222222,2.1666666666666665,0.1111111111111111,2.3255813953488373,0.27906976744186046,30.372093023255815,0.9844961240310077,0.7209302325581395
conditional_percentile_100,Conditional percentile,All 5 >=3/5,60,52,0.7307692307692307,1.7307692307692308,0.1346153846153846,3.0166666666666666,0.85,30.133333333333333,0.8166666666666667,0.13333333333333333
conditional_percentile_100,Conditional percentile,No Khovanov >=3/4,31,28,0.7857142857142857,2.0,0.21428571428571427,3.161290322580645,0.8709677419354839,31.129032258064516,0.9032258064516129,0.0967741935483871
